datum,km_stand,liter,preis,tankstelle
2025-10-08,679,40.45,60.03,Jet / Salzburg
2025-10-27,1277,36.24,54.69,Jet / Salzburg
2025-11-10,1794,31.18,46.89,Jet / Salzburg
2025-11-24,2245,27.71,41.04,Jet / Salzburg
2025-12-16,2797,33.60,48.65,Jet / Salzburg
2025-12-28,3198,24.94,35.22,Diskont / Wals-Siezenheim
2025-12-31,3720,38.36,56.27,Diskont / Wals-Siezenheim
2026-01-22,4285,35.04,49.90,Diskont / Wals-Siezenheim
2026-02-20,4859,35.58,53.69,Jet / Salzburg
2026-03-02,5120,15.54,23.53,Jet / Salzburg
2026-04-03,5688,33.83,59.34,BP / Elsbethen
